"video_id","is_weekend","publish_hour","views","likes","comment_count","tag_appeared_in_title_count","tag_appeared_in_title_f","title_length","has_question","has_exclamation","tags_count","subscriber","interaction_rate","is_hot","is_weekend_f","has_question_f","has_exclamation_f","is_hot_f"
"2kyS6SvSYSE",0,17,2564903,96321,22149,0,"FALSE",34,0,0,1,9086142,0.0461888812169505,0,"0","0","0","0"
"1ZAPwfrtAFY",0,7,6109402,151250,19820,0,"FALSE",62,0,0,4,5937292,0.0280011038723594,0,"0","0","0","0"
"5qpjK5DgCt4",1,19,5315471,187303,9990,8,"TRUE",53,0,0,23,4191209,0.0371167484499492,0,"1","0","0","0"
"puqaWrEC7tY",0,11,913268,16729,2988,3,"TRUE",32,1,0,28,13186408,0.021589500562814,0,"0","1","0","0"
"d380meD0W0M",1,18,2819118,153395,20573,1,"TRUE",24,1,1,14,20563106,0.0617100809543978,1,"1","1","1","1"
"gHZ1Qz0KiKM",0,19,1038365,22594,3142,2,"TRUE",21,0,0,7,4652602,0.0247851189129063,0,"0","0","0","0"
"39idVpFF7NQ",1,5,2688797,19042,2689,4,"TRUE",41,0,0,42,5292034,0.00808205305197826,0,"1","0","0","0"
"nc99ccSXST0",1,21,1251577,28951,2606,4,"TRUE",35,0,0,13,10474796,0.02521379028218,0,"1","0","0","0"
"jr9QtXwC9vc",0,14,2671756,12699,1010,6,"TRUE",65,0,0,28,2453494,0.00513108232937439,0,"0","0","0","0"
"TUmyygCMMGA",0,13,635985,20721,4111,2,"TRUE",53,0,0,20,3808198,0.0390449460286013,0,"0","0","0","0"
"9wRQljFNDW8",0,2,81377,655,177,9,"TRUE",86,0,1,49,3212413,0.0102240190717279,0,"0","0","1","0"
"VifQlJit6A0",0,3,230403,2413,2002,2,"TRUE",78,0,0,40,657573,0.0191620768826795,0,"0","0","0","0"
"5E4ZBSInqUU",0,17,5468928,247884,14903,3,"TRUE",42,0,0,33,11146743,0.048050916011328,0,"0","0","0","0"
"GgVmn66oK_A",1,14,789594,10203,3551,2,"TRUE",38,1,0,25,1740822,0.0174190786657447,0,"1","1","0","0"
"TaTleo4cOs8",1,18,301738,8634,2027,3,"TRUE",24,0,1,14,725479,0.0353319767480397,0,"1","0","1","0"
"kgaO45SyaO4",0,20,5531707,72727,14816,1,"TRUE",16,0,0,5,824219,0.01582567551029,0,"0","0","0","0"
"ZAQs-ctOqXQ",1,17,371683,9600,1282,1,"TRUE",48,0,0,32,2158902,0.0292776371262608,0,"1","0","0","0"
"YVfyYrEmzgM",0,16,380111,12095,643,1,"TRUE",52,1,0,24,6091542,0.0335112638150435,0,"0","1","0","0"
"eNSN6qet1kE",0,15,429830,22885,3403,3,"TRUE",26,0,0,18,483293,0.0611590628853268,1,"0","0","0","1"
"B5HORANmzHw",1,22,286577,9606,1196,1,"TRUE",40,0,0,17,4853444,0.0376931854266044,0,"1","0","0","0"
"vU14JY3x81A",0,14,538546,19822,6479,2,"TRUE",32,1,0,31,2098070,0.0488370538449826,0,"0","1","0","0"
"6VhU_T463sU",1,15,343273,4503,266,3,"TRUE",50,0,0,18,3188804,0.0138927326064095,0,"1","0","0","0"
"_-aDHxoblr4",0,16,338085,17626,1418,0,"FALSE",50,1,0,8,1096490,0.0563290296818847,0,"0","1","0","0"
"JBZTZZAcFTw",1,16,237111,2323,636,4,"TRUE",67,0,0,35,890739,0.0124793872911843,0,"1","0","0","0"
"lZ68j2J_GOM",0,14,152001,9020,360,0,"FALSE",28,0,0,26,335046,0.0617101203281557,1,"0","0","0","1"
"dRpNZV18N_g",1,14,324024,10288,1586,3,"TRUE",38,0,0,9,1568812,0.0366454336715799,0,"1","0","0","0"
"fcVjitaM3LY",0,12,188957,7394,680,2,"TRUE",36,0,0,3,2404027,0.0427292982001196,0,"0","0","0","0"
"qeWvgZLz9yU",0,16,265799,14179,1727,2,"TRUE",47,1,1,18,1689905,0.0598422115959804,0,"0","1","1","0"
"iIxy3JN3-jc",0,15,87403,285,175,0,"FALSE",100,0,0,1,23612,0.00526297724334405,0,"0","0","0","0"
"n30k5CwLhS4",1,17,58689,831,306,2,"TRUE",23,0,0,8,44,0.0193733067525431,0,"1","0","0","0"
"U0hAC8O7RoI",0,1,1694708,43997,3608,1,"TRUE",60,0,1,11,37489,0.0280903848922646,0,"0","0","1","0"
"n1WpP7iowLc",0,17,26448434,911883,127481,4,"TRUE",42,0,0,6,26383080,0.039297751995449,0,"0","0","0","0"
"hz7ukDjuq4w",1,23,147851,5319,739,1,"TRUE",31,1,0,40,410738,0.0409736829646063,0,"1","1","0","0"
"p2hJxyF7mok",1,5,472936,2867,467,2,"TRUE",54,0,0,2,313288,0.00704957964714042,0,"1","0","0","0"
"0mlNzVSJrT0",0,6,122634,2908,595,1,"TRUE",20,0,0,4,125,0.0285646721137694,0,"0","0","0","0"
"Om_zGhJLZ5U",1,18,288922,7515,2111,2,"TRUE",46,0,0,28,6366779,0.0333169505956625,0,"1","0","0","0"
"e_7zHm7GsYc",0,15,112866,3643,137,6,"TRUE",57,0,0,13,658161,0.0334910424751475,0,"0","0","0","0"
