subscriber,channel_avg_views,channel_avg_like_rate,title_length,tag_density,desc_length,desc_keyword_count,title_upper_ratio,desc_has_youtube_link,desc_has_timestamp,channel_has_digit,channel_has_special,title_ends_with_punct,category_1,category_2,category_10,category_15,category_17,category_19,category_20,category_22,category_23,category_24,category_25,category_26,category_27,category_28,category_29,period_Afternoon,period_Dawn,period_Evening,period_Morning,log_views
9086142,3396184.0,0.0398251610480978,34,0.0294117647058823,1555,1,0.8235294117647058,1,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,14.757431608986018
5937292,4644946.25,0.0277007941711458,62,0.064516129032258,630,1,0.1774193548387097,1,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,15.62533961769967
4191209,3014516.2,0.0673700051729717,53,0.4339622641509434,1181,0,0.1509433962264151,1,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,15.48613237108334
13186408,744678.3,0.0223624956829526,32,0.875,1407,0,0.125,1,0,0,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,13.72478574925907
20563106,3327046.0,0.065634587739606,24,0.5833333333333334,636,2,0.5,1,0,0,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,14.851934982756188
4652602,451389.3636363637,0.0360660668541297,21,0.3333333333333333,571,1,0.1428571428571428,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,13.853158881714862
5292034,2042570.238095238,0.0235272607544283,41,1.024390243902439,503,0,0.2195121951219512,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,14.804604811566515
10474796,1413780.0,0.0255312088638151,35,0.3714285714285714,736,1,0.1142857142857142,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,14.039915713121578
2453494,4853359.090909091,0.0150847100015443,65,0.4307692307692308,1310,0,0.1692307692307692,1,0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,14.798246866389325
3808198,746531.5405405406,0.0320286602079481,53,0.3773584905660377,2257,1,0.0188679245283018,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,13.362931829501363
3212413,1266772.5294117648,0.011072779296658,86,0.5697674418604651,1290,0,0.1860465116279069,1,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.30686024519077
