threshold,precision,recall,f1,accuracy,balanced_accuracy,youden
0.0,0.5,1.0,0.6666666666666666,0.5,0.5,0.0
0.01,0.708936170212766,0.9996,0.8295435684647303,0.7946,0.7946,0.5892000000000001
0.02,0.7269286754002912,0.9988,0.8414490311710193,0.8118,0.8118000000000001,0.6236
0.03,0.7354933726067747,0.9988,0.8471586089906701,0.8198,0.8198000000000001,0.6396000000000001
0.04,0.7422619047619048,0.9976,0.8511945392491468,0.8256,0.8256,0.6512
0.05,0.7466266866566716,0.996,0.8534704370179949,0.829,0.829,0.658
0.06,0.7534039334341907,0.996,0.8578811369509044,0.835,0.835,0.67
0.07,0.7574558734023128,0.9956,0.8603525751814726,0.8384,0.8384,0.6768000000000001
0.08,0.7604644057439658,0.9956,0.8622899705525723,0.841,0.841,0.682
0.09,0.7631175207118748,0.9948,0.863691613127279,0.843,0.843,0.686
0.1,0.7673557543967912,0.9948,0.8663995819543634,0.8466,0.8466,0.6932
0.11,0.7704460966542751,0.9948,0.8683659217877095,0.8492,0.8492,0.6984
0.12,0.7737317149081855,0.9944,0.8702958165587257,0.8518,0.8518,0.7036
0.13,0.777291210509853,0.994,0.8723889766543795,0.8546,0.8546,0.7091999999999999
0.14,0.7809254013220018,0.9924,0.8740531971111503,0.857,0.857,0.714
0.15,0.7845618475166086,0.992,0.8761702879349939,0.8598,0.8598,0.7196
0.16,0.7880521131236098,0.992,0.8783424827341951,0.8626,0.8626,0.7252
0.17,0.792332268370607,0.992,0.8809946714031972,0.866,0.866,0.732
0.18,0.796849887495982,0.9916,0.8836214578506505,0.8694,0.8694,0.7388
0.19,0.8014230271668823,0.9912,0.8862660944206009,0.8728,0.8728,0.7455999999999999
0.2,0.8047433398310592,0.9908,0.8881319469343851,0.8752,0.8752,0.7504000000000001
0.21,0.8067774519387423,0.9904,0.8892081163584127,0.8766,0.8766,0.7532
0.22,0.8125410374261326,0.99,0.8925351604760188,0.8808,0.8808,0.7615999999999999
0.23,0.8161716171617162,0.9892,0.8943942133815551,0.8832,0.8832,0.7664
0.24,0.8199004975124378,0.9888,0.8964641885766093,0.8858,0.8858,0.7716000000000001
0.25,0.8217492517459262,0.9884,0.8974033048846922,0.887,0.887,0.7739999999999999
0.26,0.8250417362270451,0.9884,0.8993630573248408,0.8894,0.8894,0.7787999999999999
0.27,0.8273550117331545,0.9872,0.9002370964800291,0.8906,0.8906000000000001,0.7812
0.28,0.8297442799461642,0.9864,0.9013157894736842,0.892,0.892,0.784
0.29,0.8319838056680162,0.9864,0.9026354319180088,0.8936,0.8936,0.7872
0.3,0.8349711962046764,0.9856,0.9040543019629426,0.8954,0.8954,0.7908000000000001
0.31,0.8360488798370672,0.9852,0.9045170767535806,0.896,0.8959999999999999,0.7919999999999999
0.32,0.839986352780621,0.9848,0.9066470263303259,0.8986,0.8986000000000001,0.7972
0.33,0.8414217361585783,0.9848,0.9074824917065979,0.8996,0.8996,0.7992
