feature,VIF
log_likes,4.18114218482071
comment_rate,3.796464567825675
log_channel_avg_comment_count,3.792122406424843
tag_density,3.4932261942622396
log_tags_count,3.468110973379203
log_channel_avg_views,3.074647551150103
log_comment_count,2.9864639699006426
desc_length,2.5281109816439864
like_rate,2.33545627810205
log_desc_length,2.33167047129206
log_title_length,2.0332938788165102
category_20,1.7701424923741276
category_10,1.7288820147215214
category_17,1.6648911704998468
desc_keyword_count,1.5078942954048808
category_22,1.4031044775850385
log_channel_activity,1.395235773126621
category_25,1.3690529904392328
period_Dawn,1.3674772866980809
period_Evening,1.3010315577628457
category_23,1.2698785625546276
desc_has_youtube_link,1.2470231936766312
category_27,1.200005698108575
category_1,1.1803121495583377
desc_has_timestamp,1.1366399439280248
log_channel_name_len,1.1275876070113284
category_28,1.1258887960199624
category_19,1.121423368570872
category_26,1.1175808312061433
period_Morning,1.111165992231776
title_has_punct,1.1076193914359633
category_2,1.1027356037497442
channel_has_digit,1.0959084708899787
channel_has_special,1.0911944351928768
title_upper_ratio,1.0876581082981838
popular_tag_ratio,1.0856772964455164
is_weekend,1.0785500465035502
category_15,1.0272567840383524
category_29,1.0176718015267285
