Total Unique Tags: 37894
Top 1% Count: 378
------------------------------
Rank  | Tag                                                | Count     
------------------------------
1     | funny                                              | 287       
2     | minecraft                                          | 200       
3     | comedy                                             | 191       
4     | challenge                                          | 132       
5     | gaming                                             | 117       
6     | vlog                                               | 91        
7     | ?                                                  | 83        
8     | Minecraft                                          | 79        
9     | family friendly                                    | 76        
10    | how to                                             | 74        
11    | gameplay                                           | 74        
12    | new                                                | 72        
13    | video                                              | 69        
14    | tiktok                                             | 68        
15    | animation                                          | 67        
16    | fortnite                                           | 65        
17    | 2022                                               | 65        
18    | news                                               | 65        
19    | NBA                                                | 62        
20    | Records                                            | 62        
21    | fun                                                | 61        
22    | highlights                                         | 61        
23    | minecraft hardcore                                 | 60        
24    | pokemon                                            | 56        
25    | rap                                                | 55        
26    | Rap                                                | 55        
27    | laugh                                              | 54        
28    | trailer                                            | 54        
29    | nintendo                                           | 53        
30    | prank                                              | 52        
31    | game                                               | 48        
32    | reaction                                           | 48        
33    | adventure                                          | 48        
34    | secret                                             | 46        
35    | hip hop                                            | 46        
36    | Hip                                                | 46        
37    | Hop                                                | 46        
38    | diy                                                | 45        
39    | music                                              | 45        
40    | minecraft but                                      | 45        
41    | minecraft challenge                                | 45        
42    | pranks                                             | 44        
43    | family                                             | 44        
44    | football                                           | 44        
45    | ?¡ì????¡ì?????¡ìa????¡ì?                           | 44        
46    | food                                               | 43        
47    | sports                                             | 43        
48    | humor                                              | 42        
49    | minecraft mod                                      | 41        
50    | review                                             | 40        
51    | Basketball                                         | 39        
52    | memes                                              | 39        
53    | Comedy                                             | 39        
54    | tutorial                                           | 38        
55    | Funny                                              | 38        
56    | parody                                             | 38        
57    | minecraft 100 days                                 | 37        
58    | custom                                             | 37        
59    | no swearing                                        | 37        
60    | Hip Hop                                            | 37        
61    | react                                              | 37        
62    | soccer                                             | 37        
63    | 100 days                                           | 36        
64    | minecraft survival                                 | 36        
65    | video games                                        | 36        
66    | Sports                                             | 36        
67    | viral                                              | 35        
68    | funny moments                                      | 35        
69    | no cursing                                         | 35        
70    | ????                                               | 35        
71    | commentary                                         | 34        
72    | live                                               | 34        
73    | cartoon                                            | 34        
74    | ?¡ì????¡ì???                                       | 33        
75    | video game                                         | 33        
76    | celebrity                                          | 32        
77    | funny videos                                       | 32        
78    | survival                                           | 32        
79    | matpat                                             | 32        
80    | games                                              | 32        
81    | tips                                               | 31        
82    | fortnite battle royale                             | 31        
83    | entertainment                                      | 31        
84    | minecraft mods                                     | 31        
85    | Music                                              | 31        
86    | playthrough                                        | 31        
87    | yt:cc=on                                           | 31        
88    | meme                                               | 31        
89    | experiment                                         | 30        
90    | hardcore minecraft                                 | 30        
91    | twitch                                             | 29        
92    | marvel                                             | 29        
93    | Pop                                                | 29        
94    | update                                             | 29        
95    | redstone                                           | 29        
96    | interview                                          | 28        
97    | ?¡ì????¡ìo                                         | 28        
98    | troll                                              | 28        
99    | house                                              | 28        
100   | trolling                                           | 28        
101   | science                                            | 27        
102   | tech                                               | 27        
103   | technology                                         | 27        
104   | official                                           | 27        
105   | complex                                            | 27        
106   | complex networks                                   | 27        
107   | 100 days hardcore                                  | 27        
108   | action                                             | 27        
109   | boxing                                             | 26        
110   | cooking                                            | 26        
111   | amazon                                             | 26        
112   | ?¡ì????                                            | 26        
113   | crazy                                              | 26        
114   | tricks                                             | 25        
115   | history                                            | 25        
116   | mystery                                            | 25        
117   | ufc                                                | 25        
118   | sidemen                                            | 25        
119   | fnaf                                               | 25        
120   | podcast                                            | 25        
121   | nintendo switch                                    | 25        
122   | do it yourself                                     | 24        
123   | shorts                                             | 24        
124   | nba                                                | 24        
125   | tik tok                                            | 24        
126   | love                                               | 24        
127   | game theory                                        | 24        
128   | vlogs                                              | 24        
129   | Trailer                                            | 24        
130   | skit                                               | 24        
131   | ?¡ì????¡ìo???                                      | 24        
132   | ?¡ì????¡ì?????¡ìa??                                | 24        
133   | music video                                        | 24        
134   | golf                                               | 24        
135   | mrbeast                                            | 24        
136   | minecraft manhunt                                  | 24        
137   | Disney                                             | 24        
138   | G League                                           | 23        
139   | basketball                                         | 23        
140   | stranger things                                    | 23        
141   | walkthrough                                        | 23        
142   | minecraft funny                                    | 23        
143   | mma                                                | 23        
144   | Football                                           | 23        
145   | BTS                                                | 23        
146   | mine craft                                         | 23        
147   | lego                                               | 23        
148   | espn                                               | 23        
149   | fox                                                | 23        
150   | life hacks                                         | 22        
151   | breaking news                                      | 22        
152   | jokes                                              | 22        
153   | funny video                                        | 22        
154   | new music                                          | 22        
155   | lil durk                                           | 22        
156   | anime                                              | 22        
157   | top 10                                             | 22        
158   | epic                                               | 22        
159   | craziest                                           | 22        
160   | crafts                                             | 21        
161   | experiments                                        | 21        
162   | pokemon challenge                                  | 21        
163   | celebrities                                        | 21        
164   | ESPN                                               | 21        
165   | mod                                                | 21        
